fetch_date,today_date,site_updated,kind,model_id,model,dai,box_d2,box_d1,box_d0,hit_d2,hit_d1,hit_d0,prob_d2,prob_d1,prob_d0
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3750,e魔法少女まどか☆ﾏｷﾞｶ3LPM1,0378,-11.1,-4.2,-1.4,2,0,0,1/628,1/442,1/149
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3750,e魔法少女まどか☆ﾏｷﾞｶ3LPM1,0379,-1.5,0.0,0.0,0,0,0,1/166,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3654,e黄門ちゃま9HC3,0412,-7.0,-6.8,0.0,1,1,0,1/840,1/813,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3761,eｱｸﾀﾞﾏﾄﾞﾗｲﾌﾞEHLT,0394,0.0,-1.5,0.0,0,0,0,,1/171,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3823,eｱｻﾙﾄﾘﾘｨZ,0179,4.7,-9.6,-0.5,21,4,0,1/224,1/306,1/54
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3823,eｱｻﾙﾄﾘﾘｨZ,0180,-1.9,-4.3,0.0,7,12,0,1/162,1/167,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3684,eｶﾞｰﾙｽﾞ&ﾊﾟﾝﾂｧｰ3LAH1,0390,-0.3,1.9,0.0,0,6,0,1/28,1/80,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3778,eｷﾞﾝﾊﾟﾗVIVAFESTAHTA2,0358,-0.8,10.2,0.0,0,19,0,1/79,1/74,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3805,eｿｰﾄﾞｱｰﾄ･ｵﾝﾗｲﾝ ｱﾘｼｾﾞｰｼｮﾝYKJ11,0359,0.2,-1.0,-1.3,27,20,1,1/199,1/151,1/198
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3483,eｿｰﾄﾞｱｰﾄ･ｵﾝﾗｲﾝ~閃光の軌跡~K7,0391,-0.2,-2.7,0.0,1,0,0,1/27,1/254,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3483,eｿｰﾄﾞｱｰﾄ･ｵﾝﾗｲﾝ~閃光の軌跡~K7,0392,-0.9,-1.0,0.0,0,3,0,1/80,1/276,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3820,eｿﾞﾝ100MA,0393,-0.5,-0.9,0.0,1,0,0,1/81,1/112,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3693,eﾉｰｹﾞｰﾑ･ﾉｰﾗｲﾌV3C,0353,0.0,0.0,0.0,0,0,0,,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3779,eﾊﾞｲｵﾊｻﾞｰﾄﾞ6APN,0365,0.0,-3.1,0.0,0,9,0,,1/71,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3553,eﾌｨｰﾊﾞｰうたわれるものZ,0409,0.0,0.0,0.0,0,0,0,,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3553,eﾌｨｰﾊﾞｰうたわれるものZ,0410,0.0,-0.2,0.0,0,2,0,,1/51,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3425,eﾌｨｰﾊﾞｰからくりｻｰｶｽ2R,0396,0.0,-1.9,0.0,0,0,0,,1/185,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3425,eﾌｨｰﾊﾞｰからくりｻｰｶｽ2R,0397,19.4,-1.4,0.0,25,1,0,1/103,1/211,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3694,eﾌｨｰﾊﾞｰもののがたりF,0385,0.0,0.0,0.0,0,0,0,,,
